DAYS2D,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,3,2,3,0,1,1,0,0,2,1,3,4,3,4,2,3,1,1,1,4,3,4,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,3,1,1,0,0,3,3,1,5,6,0,1,4,2,4,2,10,10,2,6,8,7,8,9,6,6,3,10,6,9,10,5,9,16,7,3,6,5,4,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,1,2,0,0,1,5,1,3,1,2,4,3,3,5,2,3,3,4,5,3,5,7,6,10,6,10,13,7,6,7,8,5,6,4,8,7,6,10,10,6,7,6,4,5,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,1,2,1,2,2,2,0,2,1,0,2,1,4,2,4,6,6,9,6,3,5,2,4,7,10,7,6,6,13,8,10,8,6,4,7,4,12,5,7,7,9,8,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,2,2,0,1,0,0,3,1,2,1,1,1,1,4,4,8,10,3,5,2,3,1,6,5,8,4,3,8,9,6,5,8,19,6,6,15,13,11,10,9,17,11,9,9,9,6,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,2,1,0,0,1,2,2,3,3,0,5,4,7,4,3,4,6,3,8,11,4,8,12,13,7,7,14,11,8,13,9,7,10,12,11,11,13,6,12,11,7,7,2,7,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,2,1,0,1,1,0,1,0,2,4,2,1,0,3,3,4,3,4,4,6,5,4,8,11,7,5,14,13,10,12,15,7,9,10,12,13,11,10,14,11,8,15,17,9,7,10,10,3,2,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,2,1,1,2,0,1,1,0,3,3,2,3,3,1,7,4,1,3,5,4,4,7,4,4,6,10,14,11,17,12,12,15,13,4,6,9,17,12,13,13,14,22,10,12,13,9,12,8,4,4,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0,0,1,0,1,0,1,1,1,4,0,5,2,3,4,7,4,9,4,6,7,8,9,10,9,10,14,17,11,7,12,14,21,15,12,10,16,13,16,18,13,16,9,11,3,7,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,2,0,0,3,2,4,3,3,1,2,6,6,8,8,9,4,10,5,15,8,11,15,17,8,10,7,14,9,11,18,15,21,9,16,11,12,4,7,10,8,4,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,0,2,2,1,3,1,2,2,1,4,2,4,8,4,7,9,6,5,9,10,11,16,7,15,14,19,11,21,17,16,13,6,11,16,12,15,14,17,11,15,10,13,4,2,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,1,0,2,1,1,1,1,1,3,0,1,4,3,2,4,4,8,9,8,10,7,12,8,13,9,8,7,11,12,10,9,5,16,11,14,11,16,10,19,11,11,16,14,8,7,9,11,6,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,2,3,0,1,1,2,1,1,1,3,1,3,0,4,2,2,0,10,6,4,7,3,4,7,5,11,10,11,16,7,10,14,16,17,16,21,13,13,15,20,20,23,18,13,12,16,10,9,7,4,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,2,2,1,0,1,1,3,1,2,2,3,2,1,2,1,3,1,4,6,10,6,9,5,8,7,8,11,9,17,17,14,12,21,9,14,19,12,7,16,8,17,10,15,16,14,10,12,15,11,6,10,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,0,1,2,3,1,2,0,2,4,2,3,3,3,1,3,3,9,3,5,7,4,12,11,12,12,11,13,11,14,19,18,15,14,15,13,18,12,13,25,17,20,11,17,16,5,14,11,4,5,3,3,4,0,0,0,0,0,0,1,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,0,0,3,1,5,0,0,1,3,3,1,4,5,9,3,6,10,9,6,12,10,11,10,12,20,11,20,22,18,8,18,13,11,17,10,18,24,13,21,16,20,10,12,8,6,7,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,2,0,1,0,1,1,2,2,0,0,5,1,0,1,2,6,1,3,5,5,5,5,2,6,9,2,6,10,8,7,17,9,9,14,14,9,17,12,14,19,17,9,16,17,15,16,29,21,17,13,14,12,8,8,4,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,1,2,0,0,0,2,5,0,1,2,1,2,1,2,0,6,6,2,5,3,5,5,9,5,6,6,8,9,10,15,14,11,8,16,16,14,18,17,18,16,15,19,19,17,22,16,18,15,6,8,4,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,3,0,0,2,1,0,3,2,3,3,0,3,3,3,0,1,2,0,2,2,3,7,5,6,5,4,10,15,8,15,12,19,14,19,19,10,17,18,16,9,19,24,14,23,18,15,16,15,9,14,11,6,3,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0,2,0,1,5,1,0,0,0,3,2,5,2,1,2,3,4,4,3,3,3,2,11,10,7,9,10,19,11,11,12,22,12,14,23,15,16,19,26,19,20,17,19,13,17,25,23,22,21,15,16,7,6,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,1,0,0,1,0,2,1,1,1,1,1,2,3,1,2,2,1,2,3,3,8,5,6,10,7,2,9,9,12,14,12,13,18,25,19,14,10,11,22,20,21,17,15,13,13,20,31,23,16,7,11,4,7,6,2,4,2,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,2,0,2,0,1,1,1,2,7,1,4,0,2,2,0,1,1,2,2,4,3,5,3,7,8,15,8,6,14,12,13,17,21,15,18,19,20,21,15,17,11,21,21,21,20,19,12,22,16,18,9,8,9,3,6,5,1,1,0,1,0,1,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,1,2,0,0,1,2,2,2,1,2,2,3,1,6,6,9,15,12,10,7,9,14,18,13,23,9,22,12,16,24,21,10,20,17,19,11,13,26,20,12,23,24,20,16,8,10,7,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,2,1,0,0,3,1,0,1,3,3,4,1,1,5,2,0,3,4,4,4,5,5,7,9,13,17,15,6,24,19,17,15,10,19,19,18,22,18,30,25,25,16,23,14,20,21,5,12,5,7,10,3,5,6,3,2,1,0,0,0,0,0,0,0,0,0,0
